Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Lio,Pune,Computer Software,"Lio is the one app for all data where you can create, keep records and track all the records","Lightspeed, Sequioa","$5,000,000.00",Seed
TravClan,New Delhi,B2B Travel,A mission to solve a genuine problem faced by millions of travel entrepreneurs across the world.,TheVentures,"$2,200,000.00",Pre-series A
WickedGud,Mumbai,Food & Beverages,A mission to make every day eating guilt-free and change the way the world consumes comfort foods.,"Titan Capital, Archana Priyadarshini, Gaurav Ahuja","$340,000.00",Pre-seed
Enercomp,Ahmedabad,Information Technology & Services,Enercomp Solutions Pvt Ltd provide drone based economically viable solutions for different sectors to improve efficiency and accuracy.,ah! Ventures,"$200,000.00",
BetterPlace,Bangalore,Information Technology & Services,"BetterPlace is India’s largest technology platform delivering digital solutions for blue-collar workforce management, throughout the entire value chain.","Jungle Ventures, CX Partners","$24,000,000.00",Series C
Medpho,Noida,Hospital & Health Care,Medpho is a healthcare service provider in India that connects doctors and patients at the click of a call.,"Cygnus Medicare Group, Probal Ghoshal, Shuchin Bajaj","$1,000,000.00",
LivQuik Technology,Mumbai,Financial Services,LivQuik’s vision is to enable the efficient movement of money.,M2P Fintech,"$4,000,000.00",
EventBeep,Pune,EdTech,An inclusive community where students are inspired and empowered to reach their full potential,"SucSEED  Indovation Fund, Uincept, Palimala Ventures",$nan,
GTM Buddy,Hyderabad,Computer Software,Just-in-time Sales Enablement Platform,Stellaris Venture Partners,"$2,000,000.00",Seed
Gobbly,Gurugram,Retail,A 24x7 automated retail store filled with daily essentials.,"Anicut Angel Fund, Sauce.VC","$900,000.00",Pre-series A
HexaHealth,Mumbai,HealthTech,H2D is the most trusted online platform that connects the finest experts with people aspiring to achieve their Health Goals in a holistic way,"Omidyar Network India, Chiratae Ventures","$4,500,000.00",Seed
Eupheus Learning,New Delhi,E-learning,Offer pedagogically differentiated technology driven solutions that lead to critical thinking and achievement of higher learning outcomes,Lightrock India,"$10,000,000.00",Series C
Easiloan,Mumbai,FinTech,"A Fintech startup, offering fast & easy digital processing of Home Loans in a completely reimagined and delightful way.",Tomorrow Capital,"$1,000,000.00",
Anar,Mumbai,Information Technology & Services,Anar Business Community App is a platform where businesses can create their free profile and grow their business network all over India.,"Elevation Capital, Accel India","$6,200,000.00",Seed
Shadez,Mumbai,Consumer Services,"Smart painting process, latest automatic tools and professional painters make the process faster than any other conventional process of painting .",Inflection Point Ventures,"$200,000.00",Pre-series A
Vahan,Bangalore,Information Technology & Services,"Help companies such as Zomato, Swiggy, Flipkart, Uber, Shadowfax etc. hire blue-collar workers and are on track to become India's largest recruitment platform.",Khosla Ventures,"$8,000,000.00",Series A
MPL,Bangalore,Sports,"Mobile Premier League (MPL), is India’s largest eSports and mobile gaming platform, with over 50+ games on its app on iOS and Android, and over 60 million users in India.",Legatum Capital,$nan,Series E
Tinkerly,Jaipur,EdTech,"A STEM learning online-offline solutions provider that makes STEM learning & Coding fun and interesting with superior pedagogy, blended learning, and play-based curriculum.",Navneet Education,"$800,000.00",
Godamwale,Mumbai,Logistics & Supply Chain,Godamwale is tech enabled integrated logistics company providing end to end supply chain solutions.,1000000	#REF!,$nan,
Artium Academy,Mumbai,Music,Artium Academy is an Online Music Education platform that makes learning fun and accessible to people of all ages.,"Sonu Nigam, Whiteboard Capital","$750,000.00",Seed
Awon GameZ,Noida,Gaming,"An online platform on which developers can host their games and gamers can come together as a community to enjoy experiences, compete, challenge and win!",Aditya Duggar,"$2,000,000.00",Seed
Ayu Health,Bangalore,Health,Ayu Health is a network of high quality hospitals focused on providing high quality healthcare for all.,"Vertex Ventures, Stellaris Venture Partners","$6,300,000.00",Series A
Apna,Bangalore,Recruitment,India's largest professional networking & job opportunities platform for the rising workforce.,Tiger Global,"$100,000,000.00",Series C
BharatAgri,Bangalore,AgriTech,Provide personalized farm solution to the farmers. Only app to provide actionable insights based on weather changes.,"Omnivore, India Quotient","$6,500,000.00",Series A
Flatheads,Bangalore,Apparel & Fashion,Flatheads are an enthusiastic team of young professionals building a retail brand in the casual footwear space.,"We Founder Circle, Dexter Angels","$1,000,000.00",Pre-series A
Boutique Spirit Brands,New Delhi,Wine & Spirits,Boutique Spirit Brands is a leading Brand creation & manufacturing company of Branded alcoholic beverages in India.,"IIFL﻿, ﻿Anicut Angel Fund﻿, ﻿Kae Capital﻿, TradeCred","$10,000,000.00",
eShipz,Bangalore,SaaS,Digital Shipping Platform for Creating best Pre & Post Shipping Experiences to Brands and Enterprise Customers. and help grow their business by 5X with automation & cloud technology.,"Indian Angel Network, Axilor","$700,000.00",
Pine Labs,Noida,Information Technology & Services,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Invesco Developing Markets Fund,"$100,000,000.00",
Paytail,New Delhi,Financial Services,Paytail is revolutionizing the offline commerce by enabling instant paperless EMI's to consumers,Cholamandalam,"$1,500,000.00",Seed
4Fin,Pune,Financial Services,4Fin is a Fintech Platform catering to needs of Smart Bharat.,Curesense Therapeutics,"$1,100,000.00",Pre-seed
Atomberg Technologies,Mumbai,Consumer Electronics,A maker of energy-efficient smart fans,Ka Enterprises,$nan,
Genext Students,Mumbai,EdTech,"LIVE online classes with expert tutors for K-12 for CBSE, ICSE and State Boards.",Navneet Education,$nan,
immunitoAI,Bangalore,BioTechnology,Perform Antibody Discovery using Artificial Intelligence.,pi Ventures,"$1,000,000.00",Seed
GameEon Studios,Mumbai,Computer Games,"GameEon is based in the sleepless city of Mumbai, India and deals mainly in game development.",Mumbai Angels Network,"$320,000.00",
Farmers Fresh Zone,Kochi,AgriTech,D2C Health and Wellness Brand for Fresh and Safe Fruits and Vegetables from farmers through traceable Supply Chain,"IAN Fund, Malabar Angel Network, Native Angel Network","$800,000.00",Pre-series A
Anveshan,Bangalore,Food Production,Revolutionizing the food industry through technology by providing high-quality traceable food products,"DSG Consumer Partners, Titan Capital","$500,000.00",Seed
OckyPocky,Gurugram,EdTech,OckyPocky is India's 1st interactive English learning app for preschool kids.,"Sujeet Kumar, SucSEED Indovation Fund",$nan,Seed
Coutloot,Mumbai,Consumer Services,"Empowering local markets to sell online socially, our mission is to bring 25M sellers online by 2023","Ameba Capital, 9Unicorns","$8,000,000.00",Pre-series
Nova Benefits,Bangalore,Health,Nova Benefits is the one stop tech platform for providing the best health and wellness benefits to employees.,"Susquehanna International Group, Bessemer Venture Partners","$10,000,000.00",Series A
HomeLane,Bangalore,Interior Design,"Tech-empowered teams have delivered over 20,000 homes across 16 cities over the last 7 years.","IIFL AMC, Oman India Joint Investment Fund","$50,000,000.00",Series E
Lido Learning,Mumbai,E-learning,LIDO is an  ed-tech company revolutionizing formal classroom education through a unique and immersive online classroom for every child in India.,Unilazer Ventures,"$10,000,000.00",
Jar,Bangalore,FinTech,A daily gold-savings app that saves spare change & auto-invests.,"Tribe Capital, Arkam Ventures, WEH, Kunal Shah","$4,500,000.00",Pre-series A
Peppermint,Pune,Industrial Automation,Intelligent Housekeeping Robots for public and working spaces,"Venture Catalysts, Indian Angel Network","$600,000.00",
moneyHOP,London,Financial Services,moneyHOP is India’s first cross-border neo bank.,,"$1,200,000.00",Seed
Codingal,Bangalore,EdTech,Codingal is on a mission to inspire school kids to fall in love with coding. Backed by Y Combinator!,,"$1,200,000.00",Seed
Skit,Bangalore,AI,Enabling enterprises to automate their contact centre operations using Voice AI.,Westbridge Capital,"$23,000,000.00",Series B
Peak,Manchester,Manchester,Peak helps the world's smartest companies put the power of AI at the center of all commercial decision making with Decision Intelligence,SoftBank Vision Fund 2,"$75,000,000.00",Series C
REVOS,Bangalore,Automotive,REVOS is a smart mobility platform that empowers all 2 and 3 wheeler vehicles through AI-integrated IoT  solutions,,"$4,000,000.00",Series A
Dezerv.,Mumbai,Investment Management,"Integrated Portfolios designed by experts with decades of investing, Unique access to pre-IPO and startup investing","Elevation Capital, Matrix Partners India","$7,000,000.00",Seed
AppsForBharat,Bangalore,Product studio,"A mission to assist a billion Indians in their spiritual journey, through a range of products & services",Elevation Capital,"$10,000,000.00",Series A
Habbit,Bangalore,EdTech,Habbit is online learning community for anyone looking to get mentored in a skill or hobby of their choice.,Ashok Goyal,"$320,000.00",Pre-seed
Bikayi,Hyderabad,E-commerce,Empowering SMBs in India,Sequoia Capital India,"$10,000,000.00",Series A
Sugar.fit,Bangalore,Health,"Innovative technology, compassionate diabetes experts and personalised plans, which will help lead a normal life once more.","Cure.fit, Endiya Partners, Tanglin Venture","$10,000,000.00",
Dukaan,Bangalore,Retail,"Help forward thinking entrepreneurs by providing them the platform to start, grow, and manage their business online.","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns","$11,000,000.00",Series A
Vidyakul,Gurugram,EdTech,Vidyakul is a group of academic experts.,We Founder Circle,"$500,000.00",Bridge
Goodmylk,Bangalore,Food & Beverages,Make plant-based food affordable and accessible in India.,"Jinisha Sharma, Aditya Agarwal, Victoria, Abhishek Shroff","$1,000,000.00",Seed
Fieldproxy,Chennai,SaaS,Fieldproxy is a no-code platform that helps field servicing companies digitize their processes to better manage their on-ground technicians,"LetsVenture, 2am VC, magic.fund","$200,000.00",Seed
NeuroPixel.AI,Bangalore,Deeptech,NeuroPixel.AI Labs is a deep tech start-up that works in application of advanced AI/ML and statistical learning theory in Computer Vision and Image Processing area for online retail storefronts.,"Arvind Venugopal Nair, Amritendu Mukherjee","$800,000.00",Seed
Elixia Tech Solutions,Mumbai,Information Technology & Services,End to End Logistics Automation Expert,Rajasthan Venture Capital Fund,"$1,000,000.00",Pre-series A
bitsCrunch,Chennai,Blockchain,A consulting firm focused mainly on Data Analytics and DevOps.,"Covalent, Double Peak, GenBlock Capital, Ledger Prime, MEXC Global, Synaps","$700,000.00",Seed
Prolgae,The Nilgiris,BioTechnology,Prolgae Spirulina Supplies Pvt. Ltd. is a Nordic-India joint operating company.,Vijayan,"$200,000.00",Seed
Biddano,Pune,Health,India's first tech-enabled healthcare logistics platform.,"Gokul Rajaram, JPIN, Venture Catalysts UK, AngelList","$2,000,000.00",Pre-series A1
Geniemode,Gurugram,B2B,"Transforming global sourcing for retailers & suppliers in furniture, hard goods & fashion industry using technology.",Info Edge Ventures,"$2,000,000.00",
Sapio Analytics,Mumbai,Computer Software,Sapio helps government create policies driven by the power of data and AI.,"Rachit Poddar, Rajesh Gupta",$nan,
Neokred,Bangalore,FinTech,Democratizing Open Banking,"Virenxia Group, Rajesh Jain, Nitin Agarwal","$500,000.00",Seed
Delhivery,Gurugram,Logistics & Supply Chain,Delhivery is a leading logistics and supply chain services company in India.,Addition,"$76,000,000.00",Series I
Flipspaces,Mumbai,Design,"Flipspaces is a global tech-enabled venture towards discovery, design and delivery of commercial and residential spaces",Prashasta Seth,"$2,000,000.00",Pre-series B
